NAME                                                IMAGE                                          COMMAND                  SERVICE                    CREATED              STATUS                        PORTS
otel-observability-lab-data-service-1               otel-observability-lab-data-service            "uvicorn main:app --…"   data-service               About a minute ago   Up About a minute (healthy)   0.0.0.0:8002->8002/tcp, [::]:8002->8002/tcp
otel-observability-lab-grafana-1                    grafana/grafana:11.1.0                         "/run.sh"                grafana                    9 days ago           Up 2 days                     0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
otel-observability-lab-jaeger-1                     jaegertracing/all-in-one:1.58                  "/go/bin/all-in-one-…"   jaeger                     9 days ago           Up 2 days                     0.0.0.0:16686->16686/tcp, [::]:16686->16686/tcp
otel-observability-lab-local-security-simulator-1   python:3.12-alpine                             "python /opt/local/s…"   local-security-simulator   21 seconds ago       Up 18 seconds (healthy)       0.0.0.0:9464->9464/tcp, [::]:9464->9464/tcp
otel-observability-lab-loki-1                       grafana/loki:3.0.0                             "/usr/bin/loki -conf…"   loki                       9 days ago           Up 2 days                     0.0.0.0:3100->3100/tcp, [::]:3100->3100/tcp
otel-observability-lab-otel-collector-1             otel/opentelemetry-collector-contrib:0.103.0   "/otelcol-contrib --…"   otel-collector             9 days ago           Up 2 days                     0.0.0.0:4317-4318->4317-4318/tcp, [::]:4317-4318->4317-4318/tcp, 0.0.0.0:8888-8889->8888-8889/tcp, [::]:8888-8889->8888-8889/tcp, 0.0.0.0:13133->13133/tcp, [::]:13133->13133/tcp
otel-observability-lab-postgres-1                   postgres:16-alpine                             "docker-entrypoint.s…"   postgres                   9 days ago           Up 2 days (healthy)           0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp
otel-observability-lab-prometheus-1                 prom/prometheus:v2.52.0                        "/bin/prometheus --c…"   prometheus                 3 minutes ago        Up 3 minutes                  0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp
otel-observability-lab-service-a-1                  otel-observability-lab-service-a               "uvicorn main:app --…"   service-a                  3 minutes ago        Up About a minute (healthy)   0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp
otel-observability-lab-service-b-1                  otel-observability-lab-service-b               "uvicorn main:app --…"   service-b                  3 minutes ago        Up About a minute (healthy)   0.0.0.0:8001->8001/tcp, [::]:8001->8001/tcp
