event_id,timestamp,environment,source,event_type,service,src_zone,dst_zone,direction,action,protocol,src_ip,dst_ip,src_port,dst_port,bytes,status,auth_result,finding_type,cve_id,severity,message,trace_id
security-sim-0001,2026-09-02T12:00:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.10,10.0.2.20,40000,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0002,2026-09-02T12:12:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.11,10.0.2.20,40001,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0003,2026-09-02T12:24:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.12,10.0.2.20,40002,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0004,2026-09-02T12:36:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.13,10.0.2.20,40003,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0005,2026-09-02T12:48:00Z,local-simulated,network-security-simulator,auth_success,service-a,internal,application,east_west,allow,https,10.0.2.14,10.0.2.20,40004,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0006,2026-09-02T13:00:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.15,10.0.2.20,40005,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0007,2026-09-02T13:12:00Z,local-simulated,network-security-simulator,auth_success,service-a,internal,application,east_west,allow,https,10.0.2.16,10.0.2.20,40006,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0008,2026-09-02T13:24:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.17,10.0.2.20,40007,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0009,2026-09-02T13:36:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.18,10.0.2.20,40008,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0010,2026-09-02T13:48:00Z,local-simulated,network-security-simulator,auth_success,service-a,internal,application,east_west,allow,https,10.0.2.19,10.0.2.20,40009,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0011,2026-09-02T14:00:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.20,10.0.2.20,40010,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0012,2026-09-02T14:12:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.21,10.0.2.20,40011,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0013,2026-09-02T14:24:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.22,10.0.2.20,40012,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0014,2026-09-02T14:36:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.23,10.0.2.20,40013,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0015,2026-09-02T14:48:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.24,10.0.2.20,40014,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0016,2026-09-02T15:00:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.25,10.0.2.20,40015,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0017,2026-09-02T15:12:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.26,10.0.2.20,40016,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0018,2026-09-02T15:24:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.27,10.0.2.20,40017,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0019,2026-09-02T15:36:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.28,10.0.2.20,40018,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0020,2026-09-02T15:48:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.29,10.0.2.20,40019,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0021,2026-09-02T16:00:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.10,10.0.2.20,40020,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0022,2026-09-02T16:12:00Z,local-simulated,network-security-simulator,auth_success,service-a,internal,application,east_west,allow,https,10.0.2.11,10.0.2.20,40021,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0023,2026-09-02T16:24:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.12,10.0.2.20,40022,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0024,2026-09-02T16:36:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.13,10.0.2.20,40023,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0025,2026-09-02T16:48:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.14,10.0.2.20,40024,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0026,2026-09-02T17:00:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.15,10.0.2.20,40025,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0027,2026-09-02T17:12:00Z,local-simulated,network-security-simulator,auth_success,service-a,internal,application,east_west,allow,https,10.0.2.16,10.0.2.20,40026,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0028,2026-09-02T17:24:00Z,local-simulated,network-security-simulator,auth_success,data-service,internal,application,east_west,allow,https,10.0.2.17,10.0.2.20,40027,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0029,2026-09-02T17:36:00Z,local-simulated,network-security-simulator,auth_success,service-a,internal,application,east_west,allow,https,10.0.2.18,10.0.2.20,40028,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0030,2026-09-02T17:48:00Z,local-simulated,network-security-simulator,auth_success,service-a,internal,application,east_west,allow,https,10.0.2.19,10.0.2.20,40029,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0031,2026-09-02T18:00:00Z,local-simulated,network-security-simulator,auth_success,service-a,internal,application,east_west,allow,https,10.0.2.20,10.0.2.20,40030,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0032,2026-09-02T18:12:00Z,local-simulated,network-security-simulator,auth_success,service-a,internal,application,east_west,allow,https,10.0.2.21,10.0.2.20,40031,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0033,2026-09-02T18:24:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.22,10.0.2.20,40032,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0034,2026-09-02T18:36:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.23,10.0.2.20,40033,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0035,2026-09-02T18:48:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.24,10.0.2.20,40034,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0036,2026-09-02T19:00:00Z,local-simulated,network-security-simulator,auth_success,service-b,internal,application,east_west,allow,https,10.0.2.25,10.0.2.20,40035,443,0,200,success,,,info,synthetic successful authentication,unknown
security-sim-0037,2026-09-02T20:40:00Z,local-simulated,network-security-simulator,auth_failed,service-b,internet,application,north_south,deny,https,198.51.100.17,10.0.2.20,40036,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0038,2026-09-02T20:41:00Z,local-simulated,network-security-simulator,auth_failed,data-service,internet,application,north_south,deny,https,198.51.100.18,10.0.2.20,40037,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0039,2026-09-02T20:42:00Z,local-simulated,network-security-simulator,auth_failed,data-service,internet,application,north_south,deny,https,198.51.100.19,10.0.2.20,40038,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0040,2026-09-02T20:43:00Z,local-simulated,network-security-simulator,auth_failed,data-service,internet,application,north_south,deny,https,198.51.100.20,10.0.2.20,40039,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0041,2026-09-02T20:44:00Z,local-simulated,network-security-simulator,auth_failed,data-service,internet,application,north_south,deny,https,198.51.100.1,10.0.2.20,40040,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0042,2026-09-02T20:45:00Z,local-simulated,network-security-simulator,auth_failed,service-a,internet,application,north_south,deny,https,198.51.100.2,10.0.2.20,40041,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0043,2026-09-02T20:46:00Z,local-simulated,network-security-simulator,auth_failed,service-b,internet,application,north_south,deny,https,198.51.100.3,10.0.2.20,40042,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0044,2026-09-02T20:47:00Z,local-simulated,network-security-simulator,auth_failed,service-b,internet,application,north_south,deny,https,198.51.100.4,10.0.2.20,40043,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0045,2026-09-02T20:48:00Z,local-simulated,network-security-simulator,auth_failed,service-b,internet,application,north_south,deny,https,198.51.100.5,10.0.2.20,40044,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0046,2026-09-02T20:49:00Z,local-simulated,network-security-simulator,auth_failed,service-a,internet,application,north_south,deny,https,198.51.100.6,10.0.2.20,40045,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0047,2026-09-02T20:50:00Z,local-simulated,network-security-simulator,auth_failed,service-b,internet,application,north_south,deny,https,198.51.100.7,10.0.2.20,40046,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0048,2026-09-02T20:51:00Z,local-simulated,network-security-simulator,auth_failed,service-b,internet,application,north_south,deny,https,198.51.100.8,10.0.2.20,40047,443,0,401,failure,,,high,synthetic failed authentication,unknown
security-sim-0049,2026-09-02T12:03:00Z,local-simulated,network-security-simulator,flow,external-api,internet,application,north_south,allow,tcp,10.0.1.10,203.0.113.10,30000,443,14419,200,,,,info,synthetic allowed north_south flow to service-a,unknown
security-sim-0050,2026-09-02T12:08:00Z,local-simulated,network-security-simulator,flow,service-b,application,internet,north_south,allow,tcp,10.0.1.10,203.0.113.10,30001,443,48657,200,,,,info,synthetic allowed north_south flow to external-api,unknown
security-sim-0051,2026-09-02T12:13:00Z,local-simulated,network-security-simulator,flow,service-a,application,database,east_west,allow,tcp,10.0.3.12,203.0.113.10,30002,8001,83218,200,,,,info,synthetic allowed east_west flow to service-b,unknown
security-sim-0052,2026-09-02T12:18:00Z,local-simulated,network-security-simulator,flow,service-b,application,database,east_west,allow,tcp,10.0.1.13,10.0.2.20,30003,5432,5548,200,,,,info,synthetic allowed east_west flow to data-service,unknown
security-sim-0053,2026-09-02T12:23:00Z,local-simulated,network-security-simulator,flow,external-api,internet,application,north_south,allow,tcp,10.0.1.10,203.0.113.10,30004,443,65884,200,,,,info,synthetic allowed north_south flow to service-a,unknown
security-sim-0054,2026-09-02T12:28:00Z,local-simulated,network-security-simulator,flow,service-b,application,internet,north_south,allow,tcp,10.0.1.10,203.0.113.10,30005,443,24245,200,,,,info,synthetic allowed north_south flow to external-api,unknown
security-sim-0055,2026-09-02T12:33:00Z,local-simulated,network-security-simulator,flow,service-a,application,database,east_west,allow,tcp,10.0.1.16,203.0.113.10,30006,8001,56797,200,,,,info,synthetic allowed east_west flow to service-b,unknown
security-sim-0056,2026-09-02T12:38:00Z,local-simulated,network-security-simulator,flow,service-b,application,database,east_west,allow,tcp,10.0.2.17,10.0.2.20,30007,5432,76601,200,,,,info,synthetic allowed east_west flow to data-service,unknown
security-sim-0057,2026-09-02T12:43:00Z,local-simulated,network-security-simulator,flow,external-api,internet,application,north_south,allow,tcp,10.0.1.10,203.0.113.10,30008,443,22494,200,,,,info,synthetic allowed north_south flow to service-a,unknown
security-sim-0058,2026-09-02T12:48:00Z,local-simulated,network-security-simulator,flow,service-b,application,internet,north_south,allow,tcp,10.0.1.10,203.0.113.10,30009,443,83079,200,,,,info,synthetic allowed north_south flow to external-api,unknown
security-sim-0059,2026-09-02T12:53:00Z,local-simulated,network-security-simulator,flow,service-a,application,database,east_west,allow,tcp,10.0.2.20,203.0.113.10,30010,8001,28169,200,,,,info,synthetic allowed east_west flow to service-b,unknown
security-sim-0060,2026-09-02T12:58:00Z,local-simulated,network-security-simulator,flow,service-b,application,database,east_west,allow,tcp,10.0.3.21,10.0.2.20,30011,5432,52658,200,,,,info,synthetic allowed east_west flow to data-service,unknown
security-sim-0061,2026-09-02T13:03:00Z,local-simulated,network-security-simulator,flow,external-api,internet,application,north_south,allow,tcp,10.0.1.10,203.0.113.10,30012,443,40168,200,,,,info,synthetic allowed north_south flow to service-a,unknown
security-sim-0062,2026-09-02T13:08:00Z,local-simulated,network-security-simulator,flow,service-b,application,internet,north_south,allow,tcp,10.0.1.10,203.0.113.10,30013,443,90676,200,,,,info,synthetic allowed north_south flow to external-api,unknown
security-sim-0063,2026-09-02T13:13:00Z,local-simulated,network-security-simulator,flow,service-a,application,database,east_west,allow,tcp,10.0.3.24,203.0.113.10,30014,8001,1667,200,,,,info,synthetic allowed east_west flow to service-b,unknown
security-sim-0064,2026-09-02T13:18:00Z,local-simulated,network-security-simulator,flow,service-b,application,database,east_west,allow,tcp,10.0.1.25,10.0.2.20,30015,5432,28892,200,,,,info,synthetic allowed east_west flow to data-service,unknown
security-sim-0065,2026-09-02T13:23:00Z,local-simulated,network-security-simulator,flow,external-api,internet,application,north_south,allow,tcp,10.0.1.10,203.0.113.10,30016,443,24871,200,,,,info,synthetic allowed north_south flow to service-a,unknown
